Central ,Population (000) Male,Population (000) Female,No of,Growth Rate,Pop. Density,Urbanisation level,Average Household size
Moyo,194.8,139,25872,-2.8,73,7.6,5.3
Nakapiripirit,90.9,156.7,25400,4.6,37,2.4,5.8
Napak,112.7,142.2,26857,1.9,29,3.3,5.3
Nebbi,266.3,396.8,77397,3.3,207,14.6,5.1
Nwoya,41,133.5,26230,9.9,29,10.2,5
Otuke,62,104.3,21955,4.3,67,6,4.7
Oyam,268.4,383.6,76493,3,175,4.8,5
Pader,142.3,178,34160,1.9,54,7.5,5.2
Yumbe,251.8,484.8,63362,5.5,209,7.2,7.6
Zombo,169,240.1,50869,2.9,255,18.6,4.7
Buhweju,82.9,120.7,24845,3.1,161,2.4,4.8
Buliisa,63.4,113.2,21652,4.8,102,6.4,5
Bundibugyo,158.9,224.4,44818,2.9,264,15.9,5
Bushenyi,205.7,234.4,51378,1.1,277,20.4,4.5
Hoima,343.6,573,125554,4.3,156,18.5,4.5
Ibanda,198.6,249.6,55006,1.9,257,25.9,4.4
Isingiro,316,486.4,101590,3.6,186,11.4,4.8
Kabale,458.3,528.2,117854,1.2,314,14.4,4.4
Kabarole,356.9,469.2,107260,2.3,259,26,4.3
Kamwenge,263.7,414.5,88686,3.8,177,5.5,4.6
Kanungu,204.7,252.1,55975,1.7,198,20.3,4.5
Kasese,523,695,139066,2.4,236,17.4,5
Kibaale,405.9,785.1,168322,5.5,185,7.9,4.6
Kiruhura,212.2,328.1,67224,3.6,72,9.5,4.8
Kiryandongo,187.7,266.2,52158,2.9,74,20.9,5.1
Kisoro,220.3,281.7,62247,2.1,402,9,4.5
Kyegegwa,110.9,281.6,60061,7.8,161,9.3,4.7
Kyenjojo,266.2,422.2,91534,3.9,179,15.4,4.6
Masindi,208.4,291.1,64935,2.8,74,32.4,4.3
Mbarara,361.5,472.6,112849,2.2,265,41.3,4.1
Mitooma,160.8,183.4,39816,1.1,337,6.2,4.6
Ntoroko,51.1,67,13942,2.3,54,35.5,4.8
Ntungamo,380,483.8,101796,2,236,12.5,4.7
Rubirizi,101.8,129.1,28789,2,118,13.3,4.4
Rukungiri,275.2,314.7,69497,1.1,219,13.9,4.5
Sheema,180.2,207.3,46048,1.2,297,13.3,4.4
